,model_number,sample_type,metric_type,score
100,12,validate,f1_score,0.8162131084706785
101,12,validate,accuracy,0.7012926335461767
102,12,validate,precision,0.7077690070627337
103,12,validate,recall,0.9639017766210253
104,13,train,accuracy,0.7039682274805593
105,13,train,precision,0.7099032177422235
106,13,train,recall,0.9637818181818182
107,13,train,f1_score,0.8175872989758566
108,13,validate,f1_score,0.8161465075027565
109,13,validate,accuracy,0.7013705030369102
110,13,validate,precision,0.7080352686740975
111,13,validate,recall,0.963222813171891
112,14,train,accuracy,0.7040349764709809
113,14,train,precision,0.7095049716668449
114,14,train,recall,0.9652363636363637
115,14,train,f1_score,0.817845698792211
116,14,validate,f1_score,0.8164320597529446
117,14,validate,accuracy,0.7014483725276437
118,14,validate,precision,0.7076105900904639
119,14,validate,recall,0.964807061219871
120,15,train,accuracy,0.7040349764709809
121,15,train,precision,0.7095049716668449
122,15,train,recall,0.9652363636363637
123,15,train,f1_score,0.817845698792211
124,15,validate,f1_score,0.8164320597529446
125,15,validate,accuracy,0.7014483725276437
126,15,validate,precision,0.7076105900904639
127,15,validate,recall,0.964807061219871
128,16,train,accuracy,0.7043353469278777
129,16,train,precision,0.7095981188542112
130,16,train,recall,0.9656727272727272
131,16,train,f1_score,0.8180641981393628
132,16,validate,f1_score,0.8165453849099962
133,16,validate,accuracy,0.7016041115091107
134,16,validate,precision,0.7076591154261057
135,16,validate,recall,0.9650333823695825
136,17,train,accuracy,0.7033341120715549
137,17,train,precision,0.702638303750259
138,17,train,recall,0.9865212121212121
139,17,train,f1_score,0.8207248452090435
140,17,validate,f1_score,0.8200884040252046
141,17,validate,accuracy,0.702071328453512
142,17,validate,precision,0.7015850028159949
143,17,validate,recall,0.9867602127418807
144,18,train,accuracy,0.697894069352201
145,18,train,precision,0.6984600610488048
146,18,train,recall,0.9873939393939394
147,18,train,f1_score,0.8181672090313769
148,18,validate,f1_score,0.8174491612782306
149,18,validate,accuracy,0.6966204641021648
150,18,validate,precision,0.697560975609756
151,18,validate,recall,0.9870996944664479
152,19,train,accuracy,0.7027333711577612
153,19,train,precision,0.7087430525865754
154,19,train,recall,0.9645090909090909
155,19,train,f1_score,0.8170784301645001
156,19,validate,f1_score,0.8172722485518694
157,19,validate,accuracy,0.7027721538701137
158,19,validate,precision,0.7082641885164288
159,19,validate,recall,0.9659386669684282
160,20,train,accuracy,0.7036344825284517
161,20,train,precision,0.7087703082228305
162,20,train,recall,0.9666424242424242
163,20,train,f1_score,0.817861098576527
164,20,validate,f1_score,0.8171395815419892
165,20,validate,accuracy,0.7019155894720448
166,20,validate,precision,0.7070348020170291
167,20,validate,recall,0.9678623967409754
168,21,train,accuracy,0.70443547041351
169,21,train,precision,0.7092564275808115
170,21,train,recall,0.967030303030303
171,21,train,f1_score,0.8183235547532106
172,21,validate,f1_score,0.8174170729375777
173,21,validate,accuracy,0.702538545397913
174,21,validate,precision,0.7075713694662805
175,21,validate,recall,0.967636075591264
176,22,train,accuracy,0.7047024663751961
177,22,train,precision,0.708997338065661
178,22,train,recall,0.9685333333333334
179,22,train,f1_score,0.8186885245901638
180,22,validate,f1_score,0.8174353098443616
181,22,validate,accuracy,0.702227067434979
182,22,validate,precision,0.7069947972582377
183,22,validate,recall,0.9687676813398212
184,23,train,accuracy,0.7051697093081467
185,23,train,precision,0.7090528704655863
186,23,train,recall,0.9695030303030303
187,23,train,f1_score,0.8190718060049973
188,23,validate,f1_score,0.8179953246505414
189,23,validate,accuracy,0.7029278928515807
190,23,validate,precision,0.7071098647311118
191,23,validate,recall,0.9701256082380898
192,24,train,accuracy,0.7052364582985682
193,24,train,precision,0.7089697699968104
194,24,train,recall,0.969939393939394
195,24,train,f1_score,0.8191720240776381
196,24,validate,f1_score,0.8178392559026949
197,24,validate,accuracy,0.7026164148886467
198,24,validate,precision,0.7068766490765171
199,24,validate,recall,0.9701256082380898
200,25,train,accuracy,0.7033341120715549
201,25,train,precision,0.702638303750259
202,25,train,recall,0.9865212121212121
203,25,train,f1_score,0.8207248452090435
204,25,validate,f1_score,0.8200884040252046
205,25,validate,accuracy,0.702071328453512
206,25,validate,precision,0.7015850028159949
207,25,validate,recall,0.9867602127418807
208,26,train,accuracy,0.7034342355571872
209,26,train,precision,0.7057091788455473
210,26,train,recall,0.9762909090909091
211,26,train,f1_score,0.8192359331136336
212,26,validate,f1_score,0.8186390813324476
213,26,validate,accuracy,0.702382806416446
214,26,validate,precision,0.7049113344774046
215,26,validate,recall,0.976123118705443
216,27,train,accuracy,0.7059706971932049
217,27,train,precision,0.7118218652515329
218,27,train,recall,0.9625212121212121
219,27,train,f1_score,0.8184029352351898
220,27,validate,f1_score,0.8172859683699466
221,27,validate,accuracy,0.7040180657218502
222,27,validate,precision,0.7104295503927796
223,27,validate,recall,0.961978046848478
224,28,train,accuracy,0.7038013550045056
225,28,train,precision,0.7083185589674491
226,28,train,recall,0.9685333333333334
227,28,train,f1_score,0.818235812153112
228,28,validate,f1_score,0.8175920625834764
229,28,validate,accuracy,0.702227067434979
230,28,validate,precision,0.7066875566916797
231,28,validate,recall,0.9697861265135227
232,29,train,accuracy,0.7043019724326669
233,29,train,precision,0.7094087074151864
234,29,train,recall,0.9662060606060606
235,29,train,f1_score,0.8181295672879547
236,29,validate,f1_score,0.8172125268945734
237,29,validate,accuracy,0.7023049369257125
238,29,validate,precision,0.7075674780592813
239,29,validate,recall,0.9670702727169854
240,30,train,accuracy,0.7056369522410973
241,30,train,precision,0.7093753325529424
242,30,train,recall,0.9696
243,30,train,f1_score,0.8193215339233039
244,30,validate,f1_score,0.8174569068423816
245,30,validate,accuracy,0.7023049369257125
246,30,validate,precision,0.7070873946803238
247,30,validate,recall,0.9686545207649655
248,31,train,accuracy,0.7083736608483797
249,31,train,precision,0.7111592709702632
250,31,train,recall,0.9705212121212121
251,31,train,f1_score,0.8208398261297466
252,31,validate,f1_score,0.8160666411336652
253,31,validate,accuracy,0.7008254166017754
254,31,validate,precision,0.707244212098581
255,31,validate,recall,0.9644675794953038
256,32,train,accuracy,0.7091746487334379
257,32,train,precision,0.7145275746550916
258,32,train,recall,0.9617454545454546
259,32,train,f1_score,0.8199065845492498
260,32,validate,f1_score,0.8144970841968288
261,32,validate,accuracy,0.7002803301666407
262,32,validate,precision,0.7093687038280725
263,32,validate,recall,0.9562068575308362
264,33,train,accuracy,0.7033341120715549
265,33,train,precision,0.7026243093922652
266,33,train,recall,0.986569696969697
267,33,train,f1_score,0.8207320762327317
268,33,validate,f1_score,0.8200498424789581
269,33,validate,accuracy,0.7019934589627784
270,33,validate,precision,0.7015285599356396
271,33,validate,recall,0.9867602127418807
272,34,train,accuracy,0.703467610052398
273,34,train,precision,0.7077581935301196
274,34,train,recall,0.9695515151515152
275,34,train,f1_score,0.8182245954295301
276,34,validate,f1_score,0.8167024576473395
277,34,validate,accuracy,0.700903286092509
278,34,validate,precision,0.7061396270011553
279,34,validate,recall,0.9683150390403983
280,35,train,accuracy,0.7061375696692588
281,35,train,precision,0.7117368873602752
282,35,train,recall,0.9632
283,35,train,f1_score,0.8185920019778725
284,35,validate,f1_score,0.8175049238603065
285,35,validate,accuracy,0.7041738047033173
286,35,validate,precision,0.7102671118530884
287,35,validate,recall,0.9628833314473237
288,36,train,accuracy,0.7066381870974201
289,36,train,precision,0.7106696571611663
290,36,train,recall,0.9678545454545454
291,36,train,f1_score,0.8195590589974134
292,36,validate,f1_score,0.8191077320327069
293,36,validate,accuracy,0.7054197165550538
294,36,validate,precision,0.7092580324610799
295,36,validate,recall,0.969220323639244
296,37,train,accuracy,0.7072389280112138
297,37,train,precision,0.7111253606925296
298,37,train,recall,0.9678545454545454
299,37,train,f1_score,0.8198620009857072
300,37,validate,f1_score,0.8191387559808612
301,37,validate,accuracy,0.7056533250272543
302,37,validate,precision,0.7096078919008538
303,37,validate,recall,0.9686545207649655
304,38,train,accuracy,0.7083402863531689
305,38,train,precision,0.7129496918446324
306,38,train,recall,0.9647030303030303
307,38,train,f1_score,0.8199369501164158
308,38,validate,f1_score,0.816740342110321
309,38,validate,accuracy,0.7030057623423143
310,38,validate,precision,0.7097286012526096
311,38,validate,recall,0.9617517256987665
312,39,train,accuracy,0.7100757601041284
313,39,train,precision,0.7130568246716162
314,39,train,recall,0.9685818181818182
315,39,train,f1_score,0.8214058099134475
316,39,validate,f1_score,0.8157667593747003
317,39,validate,accuracy,0.7008254166017754
318,39,validate,precision,0.7078305733544146
319,39,validate,recall,0.9625438497227566
320,40,train,accuracy,0.7096752661615993
321,40,train,precision,0.7134674590105248
322,40,train,recall,0.9663030303030303
323,40,train,f1_score,0.8208571016701333
324,40,validate,f1_score,0.8152670287939241
325,40,validate,accuracy,0.7007475471110419
326,40,validate,precision,0.7086745779709176
327,40,validate,recall,0.9596016747765078
328,41,train,accuracy,0.7033341120715549
329,41,train,precision,0.7026243093922652
330,41,train,recall,0.986569696969697
331,41,train,f1_score,0.8207320762327317
332,41,validate,f1_score,0.8200498424789581
333,41,validate,accuracy,0.7019934589627784
334,41,validate,precision,0.7015285599356396
335,41,validate,recall,0.9867602127418807
336,42,train,accuracy,0.7048025898608283
337,42,train,precision,0.7060016787912703
338,42,train,recall,0.9787151515151515
339,42,train,f1_score,0.8202856736493488
340,42,validate,f1_score,0.8192588380248318
